MAVERIK COUNTRY STORE #333                                  ,Maverik                       ,"10419 S 2700 W, South Jordan                            , UT",$3.859
7-ELEVEN #34995                                             ,7-Eleven                      ,"10420 SOUTH 4000 WEST, South Jordan, UT",$3.859
MAVERIK COUNTRY STORE #498,Maverik                       ,"10429 S Temple Dr, South Jordan, UT",$3.859
MAVERIK COUNTRY STORE #413                                  ,Maverik                       ,"11792 S 3600 W, South Jordan                            , UT",$3.859
HOLIDAY OIL #53                                             ,Holiday Oil                   ,"11415 S REDWOOD RD, South Jordan, UT",$3.859
SMITHS FUEL #9276 (DISCOUNT AVAILABLE)                      ,Smiths                        ,"5448 W DAYBREAK PKWY, South Jordan                            , UT",$3.859
MAVERIK COUNTRY STORE #357                                  ,Maverik                       ,"2714 W 9000 S, West Jordan                             , UT",$3.879
HARMONS FUEL STOP                                           ,Harmons Fuel Stop             ,"10507 S REDWOOD RD, South Jordan, UT",$3.879
SMITHS FUEL #9158 (DISCOUNT AVAILABLE)                      ,Smiths                        ,"4080 W 9000 S, West Jordan                             , UT",$3.879
HOLIDAY OIL #16                                             ,Holiday Oil                   ,"1316 W 9000 S, West Jordan, UT",$3.879
SPEEDWAY #9412                                              ,Speedway                      ,"1285 W 9000 S, West Jordan, UT",$3.879
HARMONS FUEL STOP                                           ,Harmons Fuel Stop             ,"11453 PARKWAY PLAZA DR, South Jordan, UT",$3.889
SMITHS FUEL #9495 (DISCOUNT AVAILABLE)                      ,Smiths                        ,"1820 W 9000 S, West Jordan                             , UT",$3.889
7-ELEVEN #34734                                             ,7-Eleven                      ,"5203 W DAYBREAK VIEW, South Jordan, UT",$3.889
QUIK PIK MARKET 5                                           ,Shell                         ,"2729 W 9000 S, West Jordan, UT",$3.899
CHEVRON                                                     ,Chevron                       ,"3963 W 9000 S, West Jordan                             , UT",$3.899
7-ELEVEN #33982                                             ,7-Eleven                      ,"11366 S REDWOOD RD, South Jordan, UT",$3.899
7-ELEVEN #36026                                             ,7-Eleven                      ,"3798 WEST 11400 S, South Jordan, UT",$3.929
SMITHS FUEL #9138 (DISCOUNT AVAILABLE)                      ,Smiths                        ,"1634 W SOUTH JORDAN PKWY, South Jordan                            , UT",$3.859
SUNMART #870                                                ,Chevron                       ,"8980 S REDWOOD RD, West Jordan, UT",
SAMS CLUB #4718                                             ,Sams Club                     ,"11278 S JORDAN GTWY, South Jordan                            , UT",
HOLIDAY OIL #6                                              ,Holiday Oil                   ,"5408 S 5600 W, Salt Lake City, UT",$3.759
MURPHY EXPRESS #8775                                        ,Murphy Express                ,"6135 S 5600 W, Salt Lake City                          , UT",$3.759
HOLIDAY OIL #30                                             ,Holiday Oil                   ,"3215 W 5400 S, Salt Lake City, UT",$3.809
HOLIDAY OIL #18                                             ,Holiday Oil                   ,"4825 W 4100 S, Salt Lake City, UT",$3.809
HOLIDAY OIL #21                                             ,Holiday Oil                   ,"4783 W 6200 S, Salt Lake City, UT",$3.819
7-ELEVEN #23844                                             ,7-Eleven                      ,"4820 W 6200 S, Salt Lake City, UT",$3.829
HARMONS FUEL STOP                                           ,Harmons Fuel Stop             ,"4874 W 6200 S, Salt Lake City, UT",$3.849
MAVERIK COUNTRY STORE #452                                  ,Maverik                       ,"5372 S 5600 W, Salt Lake City                          , UT",$3.849
SPEEDWAY #9427                                              ,Speedway                      ,"3731 JORDAN LANDING BLVD, West Jordan, UT",$3.849
HOLIDAY OIL #25                                             ,Holiday Oil                   ,"6189 S 3200 W, Salt Lake City                          , UT",$3.859
CHEVRON                                                     ,Chevron                       ,"4607 W 6200 S, Salt Lake City                          , UT",$3.859
SPEEDWAY #9433                                              ,Speedway                      ,"5416 S REDWOOD RD, Salt Lake City, UT",$3.859
7-ELEVEN #41519                                             ,7-Eleven                      ,"5400 South and 4000 West, Salt Lake City, UT",$3.879
SMITHS FUEL #9137 (DISCOUNT AVAILABLE)                      ,Smiths                        ,"4643 S 4000 W, Salt Lake City                          , UT",$3.879
SPEEDWAY #9425                                              ,Speedway                      ,"3587 W 4700 S, Salt Lake City, UT",$3.879
MAVERIK COUNTRY STORE #262                                  ,Maverik                       ,"4692 S 4800 W, Salt Lake City                          , UT",$3.879
HOLIDAY OIL #29                                             ,Holiday Oil                   ,"2729 W 4700 S, Salt Lake City, UT",$3.879
SPEEDWAY #9428                                              ,Speedway                      ,"4018 W 4100 S, Salt Lake City, UT",$3.879
HOLIDAY OIL #9                                              ,Holiday Oil                   ,"3219 W 4100 S, Salt Lake City, UT",$3.879
