latitude,longitude
40.7387211,-73.885988
40.7407636,-73.8962765
40.7425037,-73.8697526
40.7543435,-73.895174
40.7603407,-73.8978612
40.7604659,-73.8620299
40.7452154,-73.8677495
40.75729339999999,-73.8707051
40.752088,-73.8326249
40.7635362,-73.8798659
40.7735943,-73.8458347
40.763425,-73.8804287
40.73054440000001,-73.8720219
40.7643739,-73.82361879999999
40.7552295,-73.8912466
40.781866,-73.8384374
40.7541907,-73.89784499999999
40.75766309999999,-73.8994958
40.785194,-73.84001200000002
40.7622681,-73.8421035
40.7387526,-73.8493271
40.749782,-73.89903079999999
40.7629892,-73.8769543
40.7649174,-73.8839888
40.7646543,-73.8867294
40.7553616,-73.8905401
40.7273033,-73.87118629999999
40.770772,-73.89324479999999
40.7569005,-73.8702295
40.7368624,-73.8567005
40.7648325,-73.8127052
40.75226809999999,-73.8527667
40.7377533,-73.8524881
40.7358216,-73.85740609999999
40.7649487,-73.8190237
40.7383319,-73.8145893
40.784818,-73.84183019999999
40.7585772,-73.8340247
40.763726,-73.83064999999999
40.7214646,-73.86594130000002
40.746424,-73.89322
40.7393191,-73.8146123
40.7696293,-73.8864368
40.7302961,-73.8616668
40.7653866,-73.8619353
40.7673984,-73.8649693
40.7330035,-73.82545680000001
40.7616549,-73.8681694
40.7792638,-73.8049849
40.7786761,-73.80505389999999
40.7377565,-73.79547509999999
40.7825967,-73.8082908
40.7875503,-73.81238259999999
40.7594533,-73.80009059999999
40.7815178,-73.8226998
40.7699217,-73.79284009999999
40.7821396,-73.8033995
40.78694369999999,-73.81645040000001
40.7387497,-73.8021816
40.7536943,-73.7804204
40.7579012,-73.77824369999999
40.7405251,-73.7898706
40.76471739999999,-73.7880342
40.7539951,-73.80505389999999
40.75407020000001,-73.80450239999999
40.7805699,-73.7943903
40.7875212,-73.8108554
40.768811,-73.77398579999999
40.75803430000001,-73.7934674
40.769243,-73.7734234
40.7398283,-73.7923699
40.7387745,-73.79255370000001
40.7439735,-73.92847739999999
40.7432492,-73.9260163
40.7430747,-73.9153151
40.7431553,-73.9218369
40.719075,-73.9027989
40.7405789,-73.9001217
40.7522628,-73.90489230000001
40.7418128,-73.9039756
40.7259458,-73.8978075
40.719798,-73.89103899999999
40.770101,-73.9189264
40.75970160000001,-73.9276295
40.75325249999999,-73.91115239999999
40.7527617,-73.9107221
40.769864,-73.9167057
40.7784369,-73.914436
40.7193618,-73.8908792
40.7696768,-73.9181737
40.767911,-73.90116830000001
40.7280092,-73.9067031
40.7472674,-73.9252355
40.7690789,-73.9062438
40.7521915,-73.92946069999999
40.7597937,-73.9143029
40.7634716,-73.9143965
40.7269351,-73.9071943
40.7794262,-73.90645049999999
40.76812169999999,-73.9075592
40.7681066,-73.90686389999999
40.7056537,-73.8766728
40.7140033,-73.8589288
40.7208036,-73.9122648
40.7044055,-73.8768018
40.7143069,-73.9015927
40.71260940000001,-73.9052104
40.7140526,-73.901741
40.6984236,-73.8884495
40.7173586,-73.81755319999999
40.702162,-73.87967069999999
40.7009354,-73.8907624
40.6989422,-73.8884905
40.7265741,-73.821337
40.718307,-73.8155868
40.7028899,-73.85559789999999
40.7028581,-73.8546594
40.6906865,-73.8407577
40.6942542,-73.8284796
40.7271782,-73.8106022
40.7200283,-73.8093966
40.6944357,-73.8278462
40.7064882,-73.8172123
40.6918106,-73.8349913
40.7045093,-73.8156844
40.68769289999999,-73.84922449999999
40.7035906,-73.821811
40.7139269,-73.8076273
40.7039926,-73.8147961
40.7219165,-73.80413469999999
40.7441856,-73.7754566
40.71486120000001,-73.7754566
40.7149967,-73.77429620000001
40.6968853,-73.81429299999999
40.697799,-73.802848
40.7262084,-73.7897721
40.6937088,-73.8128858
40.7004699,-73.788923
40.696236,-73.80487
40.7093123,-73.7958026
40.7093869,-73.7975171
40.7250132,-73.7718119
40.753833,-73.931439
40.7598216,-73.9373397
40.76480189999999,-73.9318143
40.7459166,-73.9337113
40.7590257,-73.937984
40.8145888,-73.858722
