latitude,longitude
42.3589725,-83.47966869999999
42.32240880000001,-83.4785661
42.322267,-83.48752449999999
42.3191941,-83.4846913
42.3577808,-83.4817915
42.363706,-83.4701917
42.3371613,-83.4784066
42.3376271,-83.459937
42.3222605,-83.4582138
42.3508136,-83.4796495
42.35795969999999,-83.4787328
42.3594353,-83.4643135
42.358645,-83.4591867
42.351332,-83.4598536
42.3070457,-83.4866912
42.307695,-83.4583947
42.3224678,-83.44836920000002
42.3686228,-83.3726992
42.36772939999999,-83.3728036
42.3979358,-83.3536216
42.38377089999999,-83.3527866
42.39844009999999,-83.33399539999999
42.383645,-83.3539139
42.3961683,-83.4024523
42.3970481,-83.4024523
42.397271,-83.35337109999999
42.3820763,-83.3539139
42.3977872,-83.3349351
42.3684027,-83.3520559
42.41306290000001,-83.3355407
42.3983538,-83.31544939999999
42.3989536,-83.3152405
42.3967421,-83.4130899
42.3831615,-83.37363839999999
42.3832339,-83.372574
42.3817905,-83.37229719999999
42.3959352,-83.4133611
42.3680603,-83.4020768
42.3671955,-83.40201429999999
42.411212,-83.3748279
42.4119541,-83.37476529999999
42.3811107,-83.3314829
42.3540364,-83.3521197
42.3464138,-83.3514505
42.3543096,-83.332674
42.347541,-83.331462
42.369184,-83.32501549999999
42.347492,-83.3324501
42.3702605,-83.3139454
42.3380213,-83.3503441
42.3557366,-83.38685509999999
42.344166,-83.38471899999999
42.3388587,-83.36478919999999
42.3384964,-83.38534489999999
42.3525044,-83.4108166
42.36184979999999,-83.4158846
42.3720094,-83.4305026
42.38461179999999,-83.3149689
42.4316809,-83.4294809
42.4239961,-83.4736281
42.4374538,-83.492774
42.3953625,-83.48229529999999
42.43618379999999,-83.4370077
42.4408807,-83.4349228
42.3961853,-83.4377166
42.4264428,-83.4749616
42.4228426,-83.5122264
42.4430689,-83.43308809999999
42.41022359999999,-83.4330464
42.4109765,-83.4321707
42.391554,-83.4654596
42.3823531,-83.460458
42.3936302,-83.5097275
42.3768771,-83.460062
42.3591657,-83.4324834
42.3678369,-83.4606039
42.3600558,-83.43255979999999
42.4409609,-83.3749114
42.43936009999999,-83.38060829999999
42.4407619,-83.375767
42.441134,-83.3411448
42.4411065,-83.3359165
42.4547218,-83.37628869999999
42.4558702,-83.35587620000001
42.440585,-83.3565442
42.4135803,-83.3162013
42.4419042,-83.335833
42.4530406,-83.3548533
42.426718,-83.33629239999999
42.3513263,-83.3131725
42.3402035,-83.33174009999999
42.332792,-83.4063113
42.3133396,-83.38849549999999
42.3095824,-83.3891215
42.3092914,-83.40768299999999
42.3093488,-83.4085118
42.3346437,-83.4084596
42.3249028,-83.3885346
42.32442229999999,-83.40813639999999
42.3243506,-83.4091322
42.3242202,-83.4177825
42.3234541,-83.4177825
42.3178004,-83.38812
42.3247479,-83.35888210000002
42.3092748,-83.3520259
42.3115662,-83.3301321
42.29666479999999,-83.34965509999999
42.3254977,-83.3220288
42.326771,-83.2989436
42.3107189,-83.3403277
42.3105383,-83.3490288
42.3043287,-83.3304522
42.3107577,-83.36503970000001
42.2996801,-83.32933849999999
42.2919348,-83.3210472
42.28896040000001,-83.32986059999999
42.3101074,-83.3647266
42.326396,-83.31214899999999
42.34027870000001,-83.3115014
42.3250125,-83.34034330000001
42.3041087,-83.30999729999999
42.312029,-83.3103948
42.326775,-83.29612159999999
42.3058532,-83.31099999999999
42.3268647,-83.292322
42.3386003,-83.3309883
42.4703471,-83.3574835
42.4970327,-83.417845
42.4991699,-83.41882520000001
42.4707192,-83.356854
42.4688193,-83.39579770000002
42.4687262,-83.4230585
42.4680578,-83.4239443
42.4981138,-83.4180536
42.4684058,-83.4151547
42.468825,-83.4161349
42.47196160000001,-83.4345058
42.4713004,-83.43559300000001
42.4608903,-83.3660206
42.283938,-83.3563145
42.267035,-83.3894763
42.2829518,-83.36270189999999
42.2885132,-83.3640795
42.2830869,-83.3889128
42.2802203,-83.39006040000001
42.2846772,-83.34915409999999
42.2669185,-83.3884538
42.26788,-83.3474212
42.29518849999999,-83.3877236
42.2950499,-83.3886416
42.2886491,-83.3856579
42.2860698,-83.34838160000001
42.2881253,-83.4075002
42.2740196,-83.388579
42.2815441,-83.37249050000001
42.3060629,-83.2460005
42.2968406,-83.28793379999999
42.2543541,-83.2887487
42.276244,-83.28940039999999
42.2755445,-83.2901488
42.2680194,-83.3080712
42.2978886,-83.26316100000001
42.3001949,-83.2680366
42.3013008,-83.2637095
42.2982216,-83.2853425
42.2689039,-83.25089679999999
42.3546256,-83.28443349999999
42.257541,-83.2512698
42.2556536,-83.2495814
42.2703055,-83.23138229999999
42.3042797,-83.2592703
42.2550737,-83.29121450000001
42.2640278,-83.2211748
42.2949904,-83.3018288
42.2730905,-83.26987609999999
42.2417366,-83.2554069
42.2561763,-83.2544688
42.2558951,-83.2728443
42.2695933,-83.23123629999999
42.2465741,-83.2702106
42.2850848,-83.2704614
42.2698373,-83.24618869999999
42.292649,-83.24950749999999
42.2930362,-83.2502453
42.2695371,-83.23216670000001
42.2840804,-83.23226079999999
42.2851102,-83.2321771
42.25594479999999,-83.24240379999999
42.2688653,-83.2965954
42.3041735,-83.2539252
42.2567311,-83.230713
42.2407744,-83.26910269999999
42.2682241,-83.2709004
42.2605911,-83.26987609999999
42.2771838,-83.2160248
42.2697552,-83.24869799999999
42.267927,-83.3093706
42.2691007,-83.24995249999999
