7-ELEVEN #34945                                             ,7-Eleven                      ,"2291 CORAL RIDGE DR, Pompano Beach, FL",$3.079
7-ELEVEN #32837                                             ,7-Eleven                      ,"10380 ROYAL PALM BLVD, Pompano Beach, FL",$3.099
CHEVRON                                                     ,Chevron                       ,"11491 W SAMPLE RD, Pompano Beach                           , FL",$3.099
7-ELEVEN #32173                                             ,7-Eleven                      ,"11650 W SAMPLE RD, Pompano Beach, FL",$3.099
SHADOWOOD MOBIL                                             ,Mobil                         ,"1351 N UNIVERSITY DR, Pompano Beach                           , FL",$3.199
MARATHON                                                    ,Marathon                      ,"2290 CORAL SPRINGS DR, Pompano Beach, FL",$3.199
CHEVRON                                                     ,Chevron                       ,"9550 W SAMPLE RD, Pompano Beach                           , FL",$3.299
MOBIL                                                       ,Mobil                         ,"10739 W ATLANTIC BLVD, Pompano Beach, FL",$3.399
LAKEVIEW GAS LIMITED                                        ,Shell                         ,"1450 CORAL RIDGE DR, Pompano Beach                           , FL",$3.399
BJS WHOLESALE CLUB                                          ,BJ's                          ,"620 RIVERSIDE DR, Pompano Beach                           , FL",
SHELL                                                       ,Shell                         ,"1720 S UNIVERSITY DR, Hollywood, FL",$2.939
CHEVRON                                                     ,Chevron                       ,"3100 S UNIVERSITY DR, Hollywood                               , FL",$2.939
CHEVRON                                                     ,Chevron                       ,"1701 S PALM AVE, Hollywood                               , FL",$2.959
CHEVRON                                                     ,Chevron                       ,"1501 S FLAMINGO RD, Hollywood                               , FL",$2.959
UNIVERSITY MOBIL                                            ,Mobil                         ,"901 N UNIVERSITY DR, Hollywood                               , FL",$2.959
SUNSHINE 322                                                ,Exxon                         ,"1102 N UNIVERSITY DR, Hollywood                               , FL",$2.959
SPEEDWAY #6891 (DISCOUNT AVAILABLE)                         ,Speedway                      ,"8905 MIRAMAR PKWY, Hollywood, FL",$2.989
7-ELEVEN #33248                                             ,7-Eleven                      ,"1696 S PALM AVE, Hollywood, FL",$2.999
PALM MARATHON                                               ,Marathon                      ,"10070 PINES BLVD, Hollywood, FL",$2.999
7-ELEVEN #34859                                             ,7-Eleven                      ,"11150 PEMBROKE RD, Hollywood, FL",$2.999
WAWA #5309                                                  ,Wawa                          ,"1600 S HIATUS RD, Hollywood, FL",$2.999
